,Index,Team,Season,Date,Against,Score,Type,PS,WPS,Diff,W,Bias,Home,Away,FWStreak,UWStreak,ranking
0,Atlanta_01/01/03,Atlanta,2002.0,1/1/03,Miami,73-107,Regular Season,-5.0,0.0,-34.0,0.0,-39.0,Atlanta,Miami,0.0,1.0,20.0
3,Atlanta_01/01/10,Atlanta,2009.0,1/1/10,New York,        108-112,Regular Season,-11.0,0.0,-4.0,0.0,-15.0,Atlanta,New York,0.0,0.0,5.0
6,Atlanta_01/02/01,Boston,2000.0,1/2/01,@ Atlanta,81-92,Regular Season,-2.5,0.0,-11.0,0.0,-13.5,Atlanta,Boston,0.0,1.0,
7,Atlanta_01/02/91,Atlanta,1990.0,1/2/91,L.A. Clippers,120-107,Regular Season,-10.5,1.0,13.0,1.0,2.5,Atlanta,L.A. Clippers,2.0,0.0,
8,Atlanta_01/02/92,Phoenix,1991.0,1/2/92,@ Atlanta,105-123,Regular Season,-4.5,0.0,-18.0,0.0,-22.5,Atlanta,Phoenix,1.0,3.0,
9,Atlanta_01/02/93,Atlanta,1992.0,1/2/93,Milwaukee,93-106,Regular Season,-3.5,0.0,-13.0,0.0,-16.5,Atlanta,Milwaukee,4.0,2.0,
10,Atlanta_01/02/96,Oklahoma City,1995.0,1/2/96,@ Atlanta,111-88,Regular Season,-3.0,1.0,23.0,1.0,20.0,Atlanta,Oklahoma City,3.0,0.0,
11,Atlanta_01/03/06,Atlanta,2005.0,1/3/06,Toronto,        97-108,Regular Season,-3.5,0.0,-11.0,0.0,-14.5,Atlanta,Toronto,1.0,1.0,22.0
14,Atlanta_01/03/09,Atlanta,2008.0,1/3/09,Houston,        103-100,Regular Season,-5.5,0.0,3.0,1.0,-2.5,Atlanta,Houston,0.0,4.0,9.0
17,Atlanta_01/03/14,Golden State,2013.0,1/3/14,@ Atlanta,        101-100,Regular Season,-3.0,0.0,1.0,1.0,-2.0,Atlanta,Golden State,0.0,0.0,10.0
20,Atlanta_01/03/95,Atlanta,1994.0,1/3/95,Portland,98-103,Regular Season,-3.0,0.0,-5.0,0.0,-8.0,Atlanta,Portland,0.0,1.0,
21,Atlanta_01/04/03,Detroit,2002.0,1/4/03,@ Atlanta,90-86,Regular Season,-2.0,1.0,4.0,1.0,2.0,Atlanta,Detroit,0.0,1.0,6.0
24,Atlanta_01/04/91,Atlanta,1990.0,1/4/91,Indiana,111-96,Regular Season,-7.0,1.0,15.0,1.0,8.0,Atlanta,Indiana,0.0,1.0,
25,Atlanta_01/04/92,Atlanta,1991.0,1/4/92,L.A. Clippers,97-95,Regular Season,-4.0,0.0,2.0,1.0,-2.0,Atlanta,L.A. Clippers,1.0,0.0,
26,Atlanta_01/04/94,Atlanta,1993.0,1/4/94,New Orleans,133-94,Regular Season,-8.5,1.0,39.0,1.0,30.5,Atlanta,New Orleans,2.0,1.0,
27,Atlanta_01/04/96,Atlanta,1995.0,1/4/96,Toronto,104-101,Regular Season,-9.0,0.0,3.0,1.0,-6.0,Atlanta,Toronto,0.0,0.0,
28,Atlanta_01/04/97,Atlanta,1996.0,1/4/97,New York,88-71,Regular Season,-3.5,1.0,17.0,1.0,13.5,Atlanta,New York,1.0,4.0,
29,Atlanta_01/05/00,Detroit,1999.0,1/5/00,@ Atlanta,120-108,Regular Season,-1.5,1.0,12.0,1.0,10.5,Atlanta,Detroit,1.0,2.0,
